term,definition_pt
acceptedNameUsage,"O nome completo, com informações de autoria e data se conhecidas, do táxon atualmente válido (zoologia) ou aceito (botânica)."
acceptedNameUsageID,"Um identificador para o uso do nome (significado documentado do nome segundo uma fonte) do táxon atualmente válido (zoologia) ou aceito (botânica)."
accessRights,"Informação sobre quem pode acessar o recurso ou uma indicação do seu status de segurança."
associatedMedia,"Lista de identificadores (publicação, identificador único global, URI) de mídias associadas à Ocorrência."
associatedOccurrences,"Lista de identificadores de outros registros de Ocorrência e suas associações com esta Ocorrência."
associatedOrganisms,"Lista de identificadores de outros Organismos e as associações deste Organismo com cada um deles."
associatedReferences,"Lista de identificadores (publicação, referência bibliográfica, identificador único global, URI) de literatura associada à Ocorrência."
associatedSequences,"Lista de identificadores (publicação, identificador único global, URI) de informações de sequências genéticas associadas à Entidade Material."
associatedTaxa,"Lista de identificadores ou nomes de táxons e as associações desta Ocorrência com cada um deles."
bed,"O nome completo da camada (bed) litoestratigráfica da qual a Entidade Material foi coletada."
behavior,"O comportamento apresentado pelo indivíduo no momento em que a Ocorrência foi registrada."
bibliographicCitation,"Uma referência bibliográfica para o recurso."
caste,"Categorização de indivíduos para espécies eussociais (incluindo alguns mamíferos e artrópodes)."
causeOfDeath,"Uma indicação da causa conhecida ou suspeita da morte de um Organismo."
collectionID,"Um identificador para a coleção ou conjunto de dados do qual o registro foi derivado."
continent,"O nome do continente em que a Localização ocorre."
coordinatePrecision,"Uma representação decimal da precisão das coordenadas informadas em decimalLatitude e decimalLongitude."
coordinateUncertaintyInMeters,"A distância horizontal (em metros), a partir da decimalLatitude e decimalLongitude informadas, que descreve o menor círculo que contém toda a Localização. Deixe vazio se a incerteza for desconhecida, não puder ser estimada ou não se aplicar (por não haver coordenadas). Zero não é um valor válido para este termo."
countryCode,"O código padrão do país em que a Localização ocorre."
cultivarEpithet,"Parte do nome de uma cultivar, grupo de cultivares ou grex que segue o nome científico."
dataGeneralizations,"Ações tomadas para tornar os dados compartilhados menos específicos ou completos do que em sua forma original. Sugere que dados alternativos de maior qualidade podem estar disponíveis mediante solicitação."
datasetID,"Um identificador para o conjunto de dados. Pode ser um identificador único global ou um identificador específico de uma coleção ou instituição."
degreeOfEstablishment,"O grau em que um Organismo sobrevive, se reproduz e expande sua distribuição no local e tempo dados."
digitalSpecimenID,"Um identificador para uma instância específica de Espécime Digital."
discipline,"O ramo ou ramos principais de conhecimento representados pelo registro."
earliestAgeOrLowestStage,"O nome completo da idade geocronológica mais antiga possível ou do andar cronoestratigráfico mais baixo atribuível ao horizonte estratigráfico do qual a Entidade Material foi coletada."
earliestEonOrLowestEonothem,"O nome completo do éon geocronológico mais antigo possível ou do eonotema cronoestratigráfico mais baixo, ou o nome informal (""Pré-Cambriano""), atribuível ao horizonte estratigráfico do qual a Entidade Material foi coletada."
earliestEpochOrLowestSeries,"O nome completo da época geocronológica mais antiga possível ou da série cronoestratigráfica mais baixa atribuível ao horizonte estratigráfico do qual a Entidade Material foi coletada."
earliestEraOrLowestErathem,"O nome completo da era geocronológica mais antiga possível ou do eratema cronoestratigráfico mais baixo atribuível ao horizonte estratigráfico do qual a Entidade Material foi coletada."
earliestPeriodOrLowestSystem,"O nome completo do período geocronológico mais antigo possível ou do sistema cronoestratigráfico mais baixo atribuível ao horizonte estratigráfico do qual a Entidade Material foi coletada."
endDayOfYear,"O último dia do ano, como número inteiro, em que o Evento ocorreu (1 para 1º de janeiro, 365 para 31 de dezembro, exceto em ano bissexto, quando é 366)."
establishmentMeans,"Declaração sobre se um Organismo foi introduzido em um determinado local e tempo por atividade direta ou indireta de humanos modernos."
eventID,"Um identificador para o conjunto de informações associadas a um Evento (algo que ocorre em um local e tempo). Pode ser um identificador único global ou específico do conjunto de dados."
eventRemarks,"Comentários ou notas sobre o Evento."
eventTime,"O horário ou intervalo durante o qual um Evento ocorreu."
eventType,"A natureza do Evento."
feedbackURL,"Um localizador uniforme de recursos (URL) que aponta para uma página web na qual um formulário pode ser enviado para coletar retorno sobre o registro."
fieldNumber,"Um identificador atribuído ao Evento em campo. Frequentemente serve como elo entre as notas de campo e o Evento."
footprintSpatialFit,"A razão entre a área do footprintWKT e a área da representação espacial verdadeira (original ou mais específica) da Localização. Valores válidos são 0, maior ou igual a 1, ou indefinido. O valor 1 indica correspondência exata ou 100% de sobreposição. Use 0 se o footprintWKT informado não contiver completamente a representação original. É indefinido (deixe vazio) se a representação original for uma geometria sem área (ex.: ponto ou linha) e sem incerteza, e a georreferência informada não for essa mesma geometria. Se ambas as georreferências forem o mesmo ponto, o valor é 1."
footprintSRS,"O elipsoide, datum geodésico ou sistema de referência espacial (SRS) no qual se baseia a geometria informada em footprintWKT."
footprintWKT,"Uma representação em Well-Known Text (WKT) da forma (footprint, geometria) que define a Localização. Uma Localização pode ter tanto uma representação ponto-raio (ver decimalLatitude) quanto uma representação de footprint, e elas podem diferir entre si."
formation,"O nome completo da formação litoestratigráfica da qual a Entidade Material foi coletada."
fundingAttribution,"Descrição textual de organizações ou indivíduos que financiaram a criação do recurso."
fundingAttributionID,"Lista de identificadores únicos globais das organizações ou agências de fomento que apoiaram o projeto."
genericName,"A parte do gênero do nome científico, sem autoria."
geodeticDatum,"O elipsoide, datum geodésico ou sistema de referência espacial (SRS) no qual se baseiam as coordenadas geográficas informadas em decimalLatitude e decimalLongitude."
geologicalContextID,"Um identificador para o conjunto de informações associadas a um Contexto Geológico (a localização dentro de um contexto geológico, como a estratigrafia). Pode ser um identificador único global ou específico do conjunto de dados."
georeferencedBy,"Lista de nomes de pessoas, grupos ou organizações que determinaram a georreferência (representação espacial) da Localização."
georeferencedDate,"A data em que a Localização foi georreferenciada."
georeferenceProtocol,"Uma descrição ou referência aos métodos usados para determinar o footprint espacial, as coordenadas e as incertezas."
georeferenceRemarks,"Comentários ou notas sobre a determinação da descrição espacial, explicando suposições feitas em adição ou em oposição às formalizadas no método referido em georeferenceProtocol."
georeferenceSources,"Lista de mapas, dicionários geográficos ou outros recursos usados para georreferenciar a Localização, descritos com especificidade suficiente para que qualquer pessoa no futuro possa usar os mesmos recursos."
georeferenceVerificationStatus,"Uma descrição categórica do grau em que a georreferência foi verificada como a melhor descrição espacial possível da Localização da Ocorrência."
group,"O nome completo do grupo litoestratigráfico do qual a Entidade Material foi coletada."
higherClassification,"Lista de nomes de táxons que termina no nível imediatamente superior ao do táxon referenciado."
higherGeography,"Lista de nomes geográficos menos específicos do que a informação registrada no termo locality."
higherGeographyID,"Um identificador para a região geográfica dentro da qual a Localização ocorreu."
highestBiostratigraphicZone,"O nome completo da zona bioestratigráfica geológica mais alta possível do horizonte estratigráfico do qual a Entidade Material foi coletada."
identificationID,"Um identificador para a Identificação (o conjunto de informações associadas à atribuição de um nome científico). Pode ser um identificador único global ou específico do conjunto de dados."
identificationReferences,"Lista de referências (publicação, identificador único global, URI) usadas na Identificação."
identificationRemarks,"Comentários ou notas sobre a Identificação."
identificationVerificationStatus,"Um indicador categórico do grau em que a identificação taxonômica foi verificada como correta."
identifiedByID,"Lista de identificadores únicos globais da pessoa, pessoas, grupos ou organizações responsáveis por atribuir o táxon ao indivíduo."
informationWithheld,"Informação adicional que existe, mas que não foi compartilhada no registro fornecido."
infragenericEpithet,"A parte infragenérica de um nome binomial em níveis acima de espécie, mas abaixo de gênero."
institutionID,"Um identificador para a instituição que detém a custódia do(s) objeto(s) ou da informação referida no registro."
island,"O nome da ilha na qual ou próxima à qual a Localização ocorre."
islandGroup,"O nome do grupo de ilhas em que a Localização ocorre."
latestAgeOrHighestStage,"O nome completo da idade geocronológica mais recente possível ou do andar cronoestratigráfico mais alto atribuível ao horizonte estratigráfico do qual a Entidade Material foi coletada."
latestEonOrHighestEonothem,"O nome completo do éon geocronológico mais recente possível ou do eonotema cronoestratigráfico mais alto, ou o nome informal (""Pré-Cambriano""), atribuível ao horizonte estratigráfico do qual a Entidade Material foi coletada."
latestEpochOrHighestSeries,"O nome completo da época geocronológica mais recente possível ou da série cronoestratigráfica mais alta atribuível ao horizonte estratigráfico do qual a Entidade Material foi coletada."
latestEraOrHighestErathem,"O nome completo da era geocronológica mais recente possível ou do eratema cronoestratigráfico mais alto atribuível ao horizonte estratigráfico do qual a Entidade Material foi coletada."
