"numero_tombo","especie","autoria","familia","genero","nome_comum","dia_inicio","mes_inicio","ano_inicio","dia_fim","mes_fim","ano_fim","data_registro","coletor","determinador","tipo_de_registro","pais","codigo_pais","estado","municipio","localidade","latitude","longitude","numero_individuos","ambiente"
"MN-0043664","Anodorhynchus hyacinthinus","(Latham, 1790)","Psittacidae","Anodorhynchus","Arara-azul-grande","22","03","2024","22","03","2024","22/03/2024","L. Souza","F. Oliveira","Observação","Brasil","BR","Mato Grosso do Sul","Miranda","RPPN Caiman","-19.91491","-56.31851","","Planície de inundação do Pantanal"
"MN-0043577","Victoria amazonica","(Poepp.) J.C.Sowerby","Nymphaeaceae","Victoria","Vitória-régia","26","04","2020","26","06","2020","26/04/2020","R. Cunha","R. Cunha","Espécime preservado","Brasil","BR","Amazonas","Tefé","RDS Mamirauá","-3.11479","-64.77121","3","Várzea amazônica"
"MN-0043632","Pyrrhura griseipectus","Salvadori, 1900","Psittacidae","Pyrrhura","Tiriba-de-peito-cinza","05","07","2016","05","07","2016","05/07/2016","T. Almeida","M. Andrade","Observação","Brasil","BR","Ceará","Quixadá","Serra do Estevão","-4.99786","-38.98271","2","Caatinga / serra úmida"
"MN-0043411","Phylloscartes ceciliae","Teixeira, 1987","Tyrannidae","Phylloscartes","Cara-pintada","27","09","2018","27","11","2018","27/09/2018","D. Rocha","D. Rocha","Observação","Brasil","BR","Alagoas","Murici","Estação Ecológica de Murici","-9.19672","-35.89378","2","Floresta Atlântica"
"MN-0043796","Ateles paniscus","(Linnaeus, 1758)","Atelidae","Ateles","Macaco-aranha-de-cara-vermelha","25","12","2024","25","12","2024","25/12/2024","C. Lima","J. Pereira","Registro fotográfico","Brasil","BR","Pará","Melgaço","Floresta Nacional de Caxiuanã","-1.74128","-51.45921","5","Floresta de terra firme"
"MN-0042854","Tangara cyanocephala","(Statius Müller, 1776)","Thraupidae","Tangara","Saíra-militar","02","02","2020","02","05","2020","02/02/2020","T. Almeida","T. Almeida","Material preservado (herbário)","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.09419","-47.97595","1","Floresta Atlântica"
"MN-0043684","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","24","02","2019","24","02","2019","24/02/2019","M. Andrade","B. Carvalho","Espécime preservado","","BR","Bahia","Curaçá","Riacho Melância","-9.14207","-39.83938","1","Caatinga arbustiva"
"MN-0043636","Tangara cyanocephala","(Statius Müller, 1776)","Thraupidae","Tangara","Saíra-militar","08","09","2018","08","09","2018","08/09/2018","J. Pereira","R. Cunha","Registro fotográfico","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.02966","-47.98254","5","Floresta Atlântica"
"MN-0043312","Euterpe edulis","Mart.","Arecaceae","Euterpe","Palmito-juçara","09","02","2021","09","02","2021","09/02/2021","P. Santos","A. Maciel","Espécime preservado","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.04991","-47.97167","1","Floresta Atlântica"
"MN-0043351","Myrmecophaga tridactyla","Linnaeus, 1758","Myrmecophagidae","Myrmecophaga","Tamanduá-bandeira","01","06","2024","01","09","2025","01/06/2024","R. Cunha","J. Pereira","Armadilha fotográfica","Brasil","BR","Goiás","Mineiros","Parque Nacional das Emas","-18.2649","-52.90726","1","Cerrado / campo limpo"
"MN-0042833","Victoria amazonica","(Poepp.) J.C.Sowerby","Nymphaeaceae","Victoria","Vitória-régia","28","08","2017","28","08","2017","28/08/2017","L. Souza","L. Souza","Espécime preservado","Brasil","BR","Amazonas","Tefé","RDS Mamirauá","-3.09754","-64.8371","3","Várzea amazônica"
"MN-0043406","Paubrasilia echinata","(Lam.) Gagnon, H.C.Lima & G.P.Lewis","Fabaceae","Paubrasilia","Pau-brasil","23","01","2020","23","04","2020","23/01/2020","C. Lima","A. Maciel","Espécime preservado","","BR","Bahia","Una","Reserva Biológica de Una","-15.15123","-39.05696","","Floresta Atlântica"
"","Mergus octosetaceus","Vieillot, 1817","Anatidae","Mergus","Pato-mergulhão","13","08","2018","13","08","2018","13/08/2018","R. Cunha","P. Santos","Registro fotográfico","Brasil","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.28214","-46.51376","2","Campo rupestre / rio de planalto"
"MN-0043750","Swietenia macrophylla","King","Meliaceae","Swietenia","Mogno","04","12","2016","04","03","2017","04/12/2016","M. Andrade","A. Maciel","Espécime preservado","Brasil","BR","Mato Grosso","Novo Mundo","RPPN Cristalino","-9.61432","-55.89696","5","Floresta amazônica (sul)"
"","Chrysocyon brachyurus","(Illiger, 1815)","Canidae","Chrysocyon","Lobo-guará","13","06","2022","13","10","2023","13/06/2022","B. Carvalho","A. Maciel","Armadilha fotográfica","Brasil","BR","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-14.16113","-47.53299","2","Cerrado sentido restrito"
"","Prosopis affinis","Spreng.","Fabaceae","Prosopis","Inhanduvá","25","08","2022","25","10","2022","25/08/2022","R. Cunha","R. Cunha","Espécime preservado","Brasil","BR","Rio Grande do Sul","Barra do Quaraí","Parque Estadual do Espinilho","-30.14668","-57.57885","1","Savana-estépica (Pampa)"
"","Tapirus terrestris","(Linnaeus, 1758)","Tapiridae","Tapirus","Anta","24","11","2016","24","06","2017","24/11/2016","D. Rocha","J. Pereira","Observação em campo","Brasil","BR","Mato Grosso","Novo Mundo","RPPN Cristalino","-9.55544","-55.93009","1","Floresta amazônica (sul)"
"MN-0043073","Xanthopsar flavus","(Gmelin, 1788)","Icteridae","Xanthopsar","Veste-amarela","24","12","2018","24","02","2019","24/12/2018","D. Rocha","A. Maciel","Observação em campo","Brasil","BR","Rio Grande do Sul","Santa Maria","Morro da Caturrita","-29.71613","-53.7944","1","Campos do Pampa"
"MN-0042995","Rhea americana","(Linnaeus, 1758)","Rheidae","Rhea","Ema","25","09","2021","25","09","2021","25/09/2021","G. Nunes","C. Lima","Registro fotográfico","Brasil","BR","Goiás","Mineiros","Parque Nacional das Emas","-18.28575","-52.9467","1","Cerrado / campo limpo"
"MN-0042984","Tapirus terrestris","(Linnaeus, 1758)","Tapiridae","Tapirus","Anta","27","06","2019","27","01","2020","27/06/2019","D. Rocha","P. Santos","Observação","Brasil","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.30922","-46.50161","","Campo rupestre / rio de planalto"
