numero_tombo,especie,autoria,familia,genero,nome_comum,data_coleta,coletor,determinador,tipo_de_registro,pais,estado,municipio,localidade,latitude,longitude,numero_individuos,ambiente
MN-0042817,Tangara fastuosa,"(Lesson, 1831)",Thraupidae,Tangara,Saíra-de-sete-cores,2024-11-03,M. Andrade,M. Andrade,Espécime preservado,Brasil,Pernambuco,Tamandaré,Reserva Biológica de Saltinho,-8.7596,-35.1047,2,Floresta Atlântica
MN-0042818,Tangara cyanocephala,"(Statius Müller, 1776)",Thraupidae,Tangara,Saíra-militar,2024-11-04,M. Andrade,R. Cunha,Espécime preservado,Brasil,Pernambuco,Maraial,Engenho Coimbra,-8.7990,-35.8460,1,Floresta Atlântica
MN-0042819,Sporophila albogularis,"(Spix, 1825)",Thraupidae,Sporophila,Golinho,2024-09-12,R. Cunha,R. Cunha,Espécime preservado,Brasil,Pernambuco,Buíque,Parque Nacional do Catimbau,-8.6190,-37.1560,4,Caatinga arbórea
MN-0042820,Paroaria dominicana,"(Linnaeus, 1758)",Thraupidae,Paroaria,Cardeal-do-nordeste,2024-10-22,L. Souza,L. Souza,Observação,Brasil,Alagoas,Quebrangulo,Estação Ecológica de Pedra Talhada,-9.3210,-36.4710,3,Brejo de altitude
MN-0042821,Tangara fastuosa,"(Lesson, 1831)",Thraupidae,Tangara,Saíra-de-sete-cores,2024-10-25,L. Souza,M. Andrade,Espécime preservado,Brasil,Pernambuco,Jaqueira,RPPN Frei Caneca,-35.5500,-8.7300,2,Floresta Atlântica
MN-0042822,Saltator similis,"d'Orbigny & Lafresnaye, 1837",Thraupidae,Saltator,Trinca-ferro-verdadeiro,2024-08-01,A. Maciel,A. Maciel,Observação,Brasil,Pernambuco,Garanhuns,Brejo dos Cavalos,,,,Brejo de altitude
MN-0042823,Icterus jamacaii,"(Gmelin, 1788)",Icteridae,Icterus,Corrupião,2024-07-15,A. Maciel,P. Lima,Espécime preservado,Brasil,Pernambuco,Serra Talhada,Fazenda Saco,-7.9920,-38.2980,1,Caatinga arbórea
MN-0042824,Pyrrhura griseipectus,"Salvadori, 1900",Psittacidae,Pyrrhura,Periquito-cara-suja,2024-06-09,P. Lima,P. Lima,Armadilha fotográfica,,Ceará,Baturité,Serra de Baturité,-4.3300,-38.8800,6,Floresta Atlântica
MN-0042825,Coereba flaveola,"(Linnaeus, 1758)",Thraupidae,Coereba,Cambacica,2024-05-20,R. Cunha,R. Cunha,Observação,Brasil,Ceará,Crato,Chapada do Araripe,-7.2300,-39.4100,5,Cerrado
MN-0042826,Cyanoloxia brissonii,"(Lichtenstein, 1823)",Cardinalidae,Cyanoloxia,Azulão,2024-04-18,J. Teixeira,J. Teixeira,Armadilha fotográfica,Brasil,Pernambuco,Triunfo,Pico do Papagaio,-7.8400,-38.1000,1,Caatinga arbórea
MN-0042827,Turdus rufiventris,"Vieillot, 1818",Turdidae,Turdus,Sabiá-laranjeira,2024-03-30,J. Teixeira,A. Maciel,Espécime preservado,Brasil,Pernambuco,São Vicente Férrer,Mata do Estado,-7.5900,-35.4900,2,Floresta Atlântica
MN-0042828,Sporophila nigricollis,"(Vieillot, 1823)",Thraupidae,Sporophila,Baiano,2024-02-14,M. Andrade,R. Cunha,Observação,Brasil,Pernambuco,Bonito,Reserva Ecológica de Bonito,-8.4700,-35.7300,3,Brejo de altitude
